Departamento  de la Instituci¢n;Provincias dela Rep£blica  de Panam†;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Econ¢mico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;A§o Cierre de Queja;A§o Recibido de Queja
Decisi¢n;Panam†;Ley 45 de 2007;45569;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Desistimiento;;45595;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Falta de informaci¢n;TALLER DE HERRERIA PACORA;Herrer°as;;;800;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45569;Oct 24;Incumplimiento de garant°a;TITAN PANAMµ;AlmacÇn por departamentos;;;577.79;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45569;Oct 24;Incumplimiento de garant°a;RAENCO;AlmacÇn por departamentos;;;1492.6;Acuerdo en audiencia/Varios;;45610;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45569;Oct 24;Incumplimiento de garant°a;INMOBILIARIA PARQUE LEFEVRE, S.A.;Inmobiliarias;;;4809.65;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45573;Oct 24;Incumplimiento de garant°a;DOIT CENTER;AlmacÇn por departamentos;;;577.79;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45573;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;31;Acuerdo en audiencia/Varios;;45617;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45573;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;22;Acuerdo en audiencia/Varios;;45608;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Incumplimiento de servicio;FAST SERVICES CENTER, S.A.;Repuestos y reparaciones (talleres varios no autos);;;203;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45573;Oct 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;42;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Incumplimiento de garant°a;PREMIER;ElectrodomÇsticos/equipos electr¢nicos;Premier;Televisor;353.09;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Incumplimiento de garant°a;GRUPO TESORINI, S.A.;Joyer°a/Relojer°as;;;96;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45573;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Desistimiento;;45596;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Cobro indebido;ELECTRONICA NEWTON;ElectrodomÇsticos/equipos electr¢nicos;;;12.83;Desistimiento/Devoluci¢n;12.83;45603;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Incumplimiento de garant°a;PANAFOTO;ElectrodomÇsticos/equipos electr¢nicos;Samsung;Televisor;566.03;Pendiente constancia desistimiento;;45625;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Incumplimiento de servicio;RANDY ARMANDO GALVIS SANTANA (REMODELA PTY);F†bricas de muebles;;;2460.3;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Incumplimiento de servicio;JEWELRY DESIGN & MANUFACTURE;Joyer°a/Relojer°as;;;1300;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Incumplimiento de garant°a;RAENCO;AlmacÇn por departamentos;HP;Laptop;416.23;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Falta de informaci¢n;ECONO HOGAR;Repuestos y reparaciones (talleres varios no autos);Poulan;Motosierra;25;Desistimiento;;45583;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Incumplimiento de garant°a;FCC SMART ALBROOK, S.A.;ElectrodomÇsticos/equipos electr¢nicos;;Video juego;63.13;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45574;Oct 24;Falta de informaci¢n;OPTI GLASS;Opticas;;;93.1;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45576;Oct 24;Incumplimiento de garant°a;MULTIMAX;ElectrodomÇsticos/equipos electr¢nicos;;;609.87;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Falta de informaci¢n;GRUPO DE COMUNICACIONES DIGITALES, S.A.;Telefonia;Iphone;Celular;845.25;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Falta de informaci¢n;RUTAS AêREAS DE VENEZUELA RAV, S.A.;L°neas aÇreas;;;325.74;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Incumplimiento de garant°a;PREMIER;ElectrodomÇsticos/equipos electr¢nicos;Premier;Dispensador de agua;128.39;Pendiente constancia desistimiento;;45596;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Incumplimiento de garant°a;VISION MOBILE;ElectrodomÇsticos/equipos electr¢nicos;Samsung;Celular;95;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45576;Oct 24;Incumplimiento de garant°a;BODAPHONE;ElectrodomÇsticos/equipos electr¢nicos;Honor;Celular;245;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;31;Pendiente constancia desistimiento;;45625;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Incumplimiento de servicio;UBER;Servicios Profesionales;;;18.3;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Incumplimiento de garant°a;GS MOVIL;ElectrodomÇsticos/equipos electr¢nicos;Samsung;Celular;313.55;Desistimiento;;45589;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45581;Oct 24;Falta de informaci¢n;SOWL TRAVEL PANAMA;Hoteles o planes vacacionales;;;1032.71;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45589;Oct 24;Incumplimiento de garant°a;SMART MOVIL CENTER;Celulares;;;106.95;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;60.71;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45583;Oct 24;Incumplimiento de garant°a;MULTIMAX;ElectrodomÇsticos/equipos electr¢nicos;LG;Refrigeradora;748.97;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45583;Oct 24;Incumplimiento de garant°a;SEARCH ENGINE BUSINESS, INC.;ElectrodomÇsticos/equipos electr¢nicos;LG;Lavadora / secadora;1510.95;Pendiente constancia desistimiento;;45588;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45583;Oct 24;Falta de informaci¢n;COPA AIRLINES;L°neas aÇreas;;;162.61;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45583;Oct 24;Devoluci¢n de dinero;EL COSTO;AlmacÇn por departamentos;;;59.99;Desistimiento/Devoluci¢n;59.99;45596;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Incumplimiento de garant°a;MAXICOOL, S.A.;Repuestos y reparaciones (talleres varios no autos);Premier;Aire acondicionado;140;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45586;Oct 24;Incumplimiento de garant°a;RAENCO;AlmacÇn por departamentos;Whirlpool;Lavadora;426.93;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45583;Oct 24;Incumplimiento de garant°a;DOIT CENTER;AlmacÇn por departamentos;;;145.51;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45581;Oct 24;Incumplimiento de servicio;MUEBLES KAIROS;Muebler°as;;;165;Desistimiento/Devoluci¢n;165;45583;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45583;Oct 24;Incumplimiento de garant°a;LA ONDA;AlmacÇn por departamentos;;Televisor;149.79;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45583;Oct 24;Falta de informaci¢n;UNITED;L°neas aÇreas;;;809.7;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45586;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;Acuerdo en audiencia/Varios;;45615;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45589;Oct 24;Incumplimiento de garant°a;RODELAG;AlmacÇn por departamentos;Samsung;Refrigeradora;579.02;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45587;Oct 24;Incumplimiento de garant°a;SUPER XTRA;Supermercados;Premier;Lavadora;213.98;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45587;Oct 24;Incumplimiento de garant°a;RAENCO;AlmacÇn por departamentos;Nisato;Lavadora;352.03;Desistimiento;;45615;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45587;Oct 24;Incumplimiento de servicio;ITA GLOBAL PANAMA;Hoteles o planes vacacionales;;;656.25;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45586;Oct 24;Custodia de bien;ECONO HOGAR;Repuestos y reparaciones (talleres varios no autos);;Motosierra;321;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Incumplimiento de garant°a;CASA CONFORT, S.A.;AlmacÇn por departamentos;LG;Refrigeradora;1026.13;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Incumplimiento de garant°a;RAENCO;AlmacÇn por departamentos;;;1149.18;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Falta de informaci¢n;AIR PANAMA;L°neas aÇreas;;;117.78;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45587;Oct 24;Falta de informaci¢n;JJK BROTHERS, S.A.;ElectrodomÇsticos/equipos electr¢nicos;Iphone;Celular;1247.61;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Incumplimiento de garant°a;GRAND XIAOMI STORE, S.A.;ElectrodomÇsticos/equipos electr¢nicos;Xiaomi;Celular;167.99;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Falta de informaci¢n;VENEZOLANA;L°neas aÇreas;;;622.95;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Incumplimiento de garant°a;GRAND XIAOMI STORE, S.A.;ElectrodomÇsticos/equipos electr¢nicos;Xiaomi;Celular;167.99;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45589;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;31;Acuerdo en audiencia/Varios;;45625;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Falta de informaci¢n;CABLE & WIRELESS PANAMµ;Telefonia;;;120;Acuerdo en audiencia/Devoluci¢n de dinero;120;45623;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Incumplimiento de garant°a;MULTITEK INTERNACIONAL, S.A.;ElectrodomÇsticos/equipos electr¢nicos;Hisense;Televisor;339.97;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Incumplimiento de garant°a;M & I TECNOLOGY, S.A.;ElectrodomÇsticos/equipos electr¢nicos;Iphone;Celular;912;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Falta de informaci¢n;INVERSIONES EL CAZADOR, S.A.;Funerarias;;;24;Acuerdo en audiencia/Varios;;45617;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45588;Oct 24;Incumplimiento de garant°a;PANAFOTO;ElectrodomÇsticos/equipos electr¢nicos;;Congelador;3102.95;Desistimiento;;45623;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45589;Oct 24;Incumplimiento de contrato;PANAFOTO;ElectrodomÇsticos/equipos electr¢nicos;;Televisor;977.98;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45589;Oct 24;Incumplimiento de servicio;WORLD CELL SOLUTIONS;ElectrodomÇsticos/equipos electr¢nicos;;Celular;80;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45589;Oct 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;32.48;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45590;Oct 24;Incumplimiento de garant°a;CASA CONFORT, S.A.;ElectrodomÇsticos/equipos electr¢nicos;LG;Refrigeradora;683.73;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45589;Oct 24;Incumplimiento de garant°a;RAENCO;AlmacÇn por departamentos;;;460.42;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45594;Oct 24;Incumplimiento de garant°a;MULTIMAX;ElectrodomÇsticos/equipos electr¢nicos;Samsung;Centro de lavado;529;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45594;Oct 24;Incumplimiento de garant°a;DO IT CENTER;ElectrodomÇsticos/equipos electr¢nicos;;;12.83;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45594;Oct 24;Incumplimiento de servicio;QUALITY CLEAN;Lavander°as o lavam†ticos;;;3.27;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45594;Oct 24;Incumplimiento de garant°a;GRANELO PIELES, S.A.;AlmacÇn por departamentos;;;149.32;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45594;Oct 24;Incumplimiento de servicio;GRUPO SQP;Servicios Profesionales;;;800;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Incumplimiento de garant°a;MW MOVIL, S.A.;ElectrodomÇsticos/equipos electr¢nicos;Iphone;Celular;830;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Cobro indebido;CABLE & WIRELESS PANAMµ;Telefonia;;;186.05;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Incumplimiento de garant°a;NOVEY;AlmacÇn por departamentos;;Hidrolavadora;106.98;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Incumplimiento de garant°a;FOTO SONIDO;ElectrodomÇsticos/equipos electr¢nicos;;Cama;500;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Falta de informaci¢n;INVERSIONES EL CREPÈSCULO, S.A.;Funerarias;;;26;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Incumplimiento de garant°a;INMOBILIARIA LYKAR, S.A.;Inmobiliarias;;;4999.95;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Falta de informaci¢n;TU BIENESTAR COMPANY, S.A.;Funerarias;;;24;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45568;Oct 24;Resoluci¢n de contrato;CASA DE FUNERALES VIDA PANAMµ, S.A.;Funerarias;;;14;Pendiente constancia desistimiento;;45615;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45569;Oct 24;Incumplimiento de garant°a;ECOSYSTEMS MOBILES;ElectrodomÇsticos/equipos electr¢nicos;Iphone;Celular;330;Acuerdo en audiencia/Varios;;45610;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45582;Oct 24;Falta de informaci¢n;PROMOTORA EL TECAL, S.A.;Inmobiliarias;;;4695;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45566;Oct 24;Incumplimiento de garant°a;RAENCO;AlmacÇn por departamentos;;;330.63;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45568;Oct 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;33.63;Acuerdo en audiencia/Varios;;45625;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45568;Oct 24;Incumplimiento de garant°a;ECOSYSTEMS MOBILES;Repuestos y reparaciones (talleres varios no autos);;Bicicleta;560;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45568;Oct 24;Falta de informaci¢n;CLINICA DE ORTODONCIA Y ESTETICA DENTAL;Dentista;;;80;Desistimiento/Devoluci¢n;80;45608;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45568;Oct 24;Incumplimiento de garant°a;RAENCO;AlmacÇn por departamentos;;;501.83;Desistimiento;;45580;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45568;Oct 24;Incumplimiento de garant°a;RODELAG;AlmacÇn por departamentos;;;427.99;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45569;Oct 24;Incumplimiento de garant°a;MUEBLES MODERNOS;Muebler°as;;;426.93;Desistimiento;;45580;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45569;Oct 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;25.5;Acuerdo en audiencia/Varios;;45625;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45569;Oct 24;Incumplimiento de garant°a;DORA CELL;ElectrodomÇsticos/equipos electr¢nicos;;Celular;380;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45572;Oct 24;Devoluci¢n de dinero;PROMOTORA CASAS PACIFICAS;Inmobiliarias;;;1300;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45572;Oct 24;Custodia de bien;OPTICA SOSA Y ARANGO;Opticas;;;70;Acuerdo en audiencia/Varios;;45610;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;10.08;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45580;Oct 24;Devoluci¢n de dinero;A.S. CORPORATE GROUP INC.;Hoteles o planes vacacionales;;;300;Pendiente constancia desistimiento;;45617;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45587;Oct 24;Incumplimiento de garant°a;SHALOM, S.A.;AlmacÇn por departamentos;Premier;Dispensador de agua;138.4;Acuerdo en audiencia/Reemplazo;;45625;Nov 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45594;Oct 24;Devoluci¢n de dinero;PROMOTORA CASAS PACIFICAS;Inmobiliarias;;;1050;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45594;Oct 24;Incumplimiento de garant°a;MULTIMAX;ElectrodomÇsticos/equipos electr¢nicos;LG;Lavadora;609.97;Desistimiento;;45596;Oct 24;2024;2024
Decisi¢n;Panam†;Ley 45 de 2007;45594;Oct 24;Incumplimiento de garant°a;TITAN PANAMµ;AlmacÇn por departamentos;Whirlpool;Lavadora;502.89;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45595;Oct 24;Incumplimiento de garant°a;PREMIER UNIVERSE, S.A.;ElectrodomÇsticos/equipos electr¢nicos;Prenium;Televisor;106.99;En proceso;;;;;2024
Decisi¢n;Panam†;Ley 45 de 2007;45596;Oct 24;Resoluci¢n de contrato;CABLE & WIRELESS PANAMµ;Telefonia;;;39.22;En proceso;;;;;2024
Decisi¢n;Bocas del Toro;Ley 45 de 2007;45575;Oct 24;Mercanc°a defectuosa;AUTO REPUESTOS & SERVICIOS EL MEJOR;Repuestos para autos;Tasco;Bater°a de auto;104;Desistimiento;;45593;Oct 24;2024;2024
Veh°culo a Motor;CoclÇ;Ley 14 de 2018;45574;Oct 24;Incumplimiento de garant°a;AUTOBAM;Agencia de autos;;Auto;10985;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45568;Oct 24;Incumplimiento de garant°a;SPIEGEL;AlmacÇn por departamentos;;Refrigeradora;1283.99;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45572;Oct 24;Incumplimiento de garant°a;BODAPHONE;Celulares;;Celular;230;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45588;Oct 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;92.88;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45589;Oct 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;20;En proceso;;;;;2024
Decisi¢n;CoclÇ;Ley 45 de 2007;45590;Oct 24;Da§os y perjuicios;TEPESA DOS S.A.;Inmobiliarias;;;2198.73;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45568;Oct 24;Falta de informaci¢n;CIMECA CENTRO MEDICO;Cl°nicas/ Hospitales;;;360;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45569;Oct 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;26.32;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45579;Oct 24;Falta de informaci¢n;PROMOTORA GREENHOUSES, S.A.;Inmobiliarias;;Vivienda;1681.5;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45579;Oct 24;Falta de informaci¢n;INVERSIONES DASA;Inmobiliarias;;Vivienda;500;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45579;Oct 24;Falta de informaci¢n;CONSTRU HOGAR LTD, S.A.;Inmobiliarias;;Vivienda;500;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45581;Oct 24;Falta de informaci¢n;BOMBASA;Servicio de intermediaci¢n;;Bomba de agua;1800.06;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45583;Oct 24;Incumplimiento de garant°a;SUPER AUDIO;AlmacÇn por departamentos;;Refrigeradora;390;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45589;Oct 24;Incumplimiento de garant°a;PANAFOTO;AlmacÇn por departamentos;Panasonic;Micro-onda;149.8;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45590;Oct 24;Incumplimiento de garant°a;SUPER AUDIO;AlmacÇn por departamentos;;TelÇfono;180;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45590;Oct 24;Incumplimiento de garant°a;PANAFOTO;AlmacÇn por departamentos;;Impresora;192.55;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45596;Oct 24;Incumplimiento de garant°a;PANAFOTO;AlmacÇn por departamentos;Whirlpool;Lavadora;382.95;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45596;Oct 24;Incumplimiento de garant°a;TITAN PANAMµ;AlmacÇn por departamentos;Nisato;Refrigeradora;577.78;En proceso;;;;;2024
Decisi¢n;Col¢n;Ley 45 de 2007;45596;Oct 24;Falta de informaci¢n;BBB SHOES;AlmacÇn por departamentos;;Zapatos;58.72;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45573;Oct 24;Incumplimiento de garant°a;FORTUNE DISTRIBUIDORA AUTOMOTRIZ CHANGAN;Agencia de autos;Changan;Auto;28488;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45573;Oct 24;Devoluci¢n de dinero;AUTO PARTES SILVERA;Repuestos para autos;;Pieza de Repuesto;248;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45588;Oct 24;Incumplimiento de garant°a;GRUPO Q;Agencia de autos;Chevrolet;Auto;29890;En proceso;;;;;2024
Veh°culo a Motor;Chiriqu°;Ley 14 de 2018;45589;Oct 24;Incumplimiento de garant°a;REFRI AUTO PITTY;Servicios Profesionales;;Aire acondicionado;290;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45566;Oct 24;Incumplimiento de garant°a;ESTAMPA;AlmacÇn de ropa y calzados;;;45.9;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45568;Oct 24;Devoluci¢n de dinero;PRADERAS DE LA RIVIERA, S.A.;Inmobiliarias;;Vivienda;1195;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45572;Oct 24;Incumplimiento de garant°a;HOME MAX CENTER, S.A.;ElectrodomÇsticos/equipos electr¢nicos;Nisato;Lavadora;299.99;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45572;Oct 24;Devoluci¢n de dinero;OPTICA SOSA Y ARANGO;Opticas;;;115.56;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45586;Oct 24;Devoluci¢n de dinero;INMOBILIARIA GRUPO OH, S.A.;Inmobiliarias;;Vivienda;2720;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45587;Oct 24;Incumplimiento de garant°a;MOVIL CORP;AlmacÇn por departamentos;;Celular;38;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45588;Oct 24;Incumplimiento de garant°a;PANAFOTO;ElectrodomÇsticos/equipos electr¢nicos;;Televisor;319.95;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45589;Oct 24;Devoluci¢n de dinero;MULTIVACACIONES DECAMERON;Agencias de viajes;;;904;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45589;Oct 24;Resoluci¢n de contrato;SKY PANAMµ;Tv por cable;;;34.49;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45590;Oct 24;Incumplimiento de garant°a;PANAFOTO;ElectrodomÇsticos/equipos electr¢nicos;Samsung;Reloj;208.6;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45590;Oct 24;Devoluci¢n de dinero;GRUPO F1;Inmobiliarias;;Vivienda;1100;En proceso;;;;;2024
Decisi¢n;Chiriqu°;Ley 45 de 2007;45593;Oct 24;Incumplimiento de garant°a;SEARCH ENGINE BUSINESS, INC.;ElectrodomÇsticos/equipos electr¢nicos;LG;Centro de lavado;192.23;En proceso;;;;;2024
